node	cluster	sps	cluster_ref
Spom_NP_594837_1	0	Spom	0b
Gthe_66832	0	Gthe	0
Mver_04374	0	Mver	0ab
Scil_12689	0	Scil	0ab
Cele_Y73B3B_2	0	Cele	0b
Ppal_EFA86338_1	0	Ppal	0ab
Esil_CBN76570	0	Esil	0
Pinf_XP_002899256	0	Pinf	0
Gthe_65244	0	Gthe	0ab
Cowc_CAOG_02237	0	Cowc	0ab
Pyez_41266_g9405	0	Pyez	0
Mbre_XP_001745803	0	Mbre	0ab
Tadh_XP_002117828	0	Tadh	0ab
Cang_50153	0	Cang	0ab
Scil_60754	0	Scil	0ab
Rall_1841	0	Rall	0ab
Lgig_139900	0	Lgig	0ab
Fgra_FGSG_09585	0	Fgra	0ab
Nvec_XP_001637486	0	Nvec	0ab
Esil_CBJ25830	0	Esil	0
Mcir_Mucci2_159353	0	Mcir	0ab
Adig_13723v110302	0	Adig	0ab
Cgig_10010657	0	Cgig	0ab
Acas_g8180	0	Acas	0ab
Mlei_ML01132a	0	Mlei	0ab
Rory_4092	0	Rory	0ab
Rory_14883	0	Rory	0ab
Ihof_9932	0	Ihof	0ab
Rfil_3784744_2s	0	Rfil	0ab
Spur_XP_003726851	0	Spur	0b
Adig_11240v107992	0	Adig	0ab
Ccri_T00005569001	0	Ccri	0
Hsap_ENSP00000384114	0	Hsap	0a
Aque_XP_003383073	0	Aque	0ab
Crev_10785	0	Crev	0ab
Aano_F0Y2P1	0	Aano	0
Cint_ENSCINP00000024302	0	Cint	0ab
Scil_83602	0	Scil	0ab
Mcir_Mucci2_163371	0	Mcir	0ab
Pbla_Phybl2_145894	0	Pbla	0ab
Adig_17690v113829	0	Adig	0ab
Scil_9219	0	Scil	0ab
Hmag_XP_002158654	0	Hmag	0b
Dmel_FBpp0075510	0	Dmel	0b
Ngru_XP_002679121	0	Ngru	0ab
Hsap_ENSP00000257745	0	Hsap	0b
Ocar_g2500_t1	0	Ocar	0ab
Rirr_253856	0	Rirr	0ab
Spur_XP_785251	0	Spur	0b
Crev_43176	1	Crev	1ab
Cint_ENSCINP00000001120	1	Cint	1b
Clim_g4811	1	Clim	1ab
Amac_13870	1	Amac	1ab
Gthe_66907	1	Gthe	1ab
Rory_16697	1	Rory	1ab
Cowc_CAOG_02948	1	Cowc	1ab
Mver_08497	1	Mver	1ab
Spur_XP_800216	1	Spur	1b
Rall_3287	1	Rall	1
Pisp_49244	1	Pisp	1ab
Umar_223368	1	Umar	1ab
Hmag_XP_002166241	1	Hmag	1ab
Mpus_Micpu57043	1	Mpus	1ab
Apar_comp16015_c3_seq1_fr4	1	Apar	1ab
Cang_122643	1	Cang	1
Ctel_228696	1	Ctel	1ab
Mcir_Mucci2_135209	1	Mcir	1
Amac_15452	1	Amac	1
Apar_comp20464_c0_seq1_fr6	1	Apar	1
Skow_XP_002732220	1	Skow	1b
Nvec_XP_001634769	1	Nvec	1ab
Gpro_132992	1	Gpro	1ab
Fgra_FGSG_06529	1	Fgra	1ab
Cang_107102	1	Cang	1
Esil_CBJ48999	1	Esil	1ab
Nspp_14168_fr5	1	Nspp	1
Cang_125152	1	Cang	1
Rory_5415	1	Rory	1
Bden_Batde5_8511	1	Bden	1ab
Ccor_10342	1	Ccor	1
Cele_C32D5_5	1	Cele	1b
Lgig_116803	1	Lgig	1a
Rfil_92400_1cf1	1	Rfil	1
Umay_XP_756690	1	Umay	1ab
Tadh_XP_002115573	1	Tadh	1ab
Mlei_ML02412a	1	Mlei	1ab
Sros_PTSG_09637	1	Sros	1ab
Tmel_XP_002839141	1	Tmel	1ab
Pbla_Phybl2_112008	1	Pbla	1ab
Mcir_Mucci2_150356	1	Mcir	1ab
Mvib_comp12474_c0_seq1_fr5	1	Mvib	1ab
Cang_122703	1	Cang	1ab
Ccin_CC1G_11834	1	Ccin	1ab
Hsap_ENSP00000305899	1	Hsap	1a
Esil_CBJ49018	1	Esil	1ab
Nspp_13715_fr4	1	Nspp	1ab
Rory_2737	1	Rory	1
Ihof_10267	1	Ihof	1ab
Falb_H696_04933T0	1	Falb	1ab
Dmel_FBpp0070146	1	Dmel	1ab
Spom_NP_588078_1	1	Spom	1ab
Amac_06505	1	Amac	1
Ncra_7565NCU08551	1	Ncra	1ab
Ocar_g3228_t1	1	Ocar	1ab
Cgig_10007764	1	Cgig	1b
Hsap_ENSP00000255613	1	Hsap	1b
Cfra_7019T1	1	Cfra	1ab
Amac_11412	1	Amac	1ab
Spun_SPPG_04024	1	Spun	1ab
Gpro_40672	2	Gpro	2a
Gthe_112741	2	Gthe	2a
Bnat_89596	2	Bnat	2a
Nvec_XP_001633261	2	Nvec	2a
Ctel_181634	2	Ctel	2a
Cowc_CAOG_03170	2	Cowc	2a
Cint_ENSCINP00000009807	2	Cint	2a
Ppal_EFA76078_1	2	Ppal	2a
Ocar_g6160_t1	2	Ocar	2a
Apar_comp23864_c1_seq1_fr6	2	Apar	2a
Bnat_69062	2	Bnat	2
Scil_45327	2	Scil	2
Bden_Batde5_86177	2	Bden	2a
Mbre_XP_001745126	2	Mbre	2a
Ihof_9696	2	Ihof	2a
Cfra_1641T1	2	Cfra	2a
Lgig_118649	2	Lgig	2a
Ddis_XP_646263	2	Ddis	2a
Hsap_ENSP00000327436	2	Hsap	2a
Spur_XP_798530	2	Spur	2a
Smoe_XP_002960159	3	Smoe	3
Smoe_XP_002983976	3	Smoe	3
Ppat_XP_001783777	3	Ppat	3
Ptri_XP_002178424	3	Ptri	3
Acoe_027_00195	3	Acoe	3
Smoe_XP_002960831	3	Smoe	3
Mgut_mgv1a005857m	3	Mgut	3
Smoe_XP_002989713	3	Smoe	3
Smoe_XP_002991767	3	Smoe	3
Smoe_XP_002992361	3	Smoe	3
Smoe_XP_002960830	3	Smoe	3
Bnat_137864	3	Bnat	3
Aano_F0YBY0	3	Aano	3
Esil_CBJ33334	3	Esil	3
Smoe_XP_002960832	3	Smoe	3
Ptri_XP_002182379	3	Ptri	3
Ddis_XP_647084	3	Ddis	3
Ptri_XP_002180352	3	Ptri	3
Gpro_130154	3	Gpro	3
Smoe_XP_002988920	3	Smoe	3
Atha_AT3G55080	3	Atha	3
Smoe_XP_002974908	3	Smoe	3
Smoe_XP_002983839	3	Smoe	3
Bnat_136247	3	Bnat	3
Pmar_XP_002782260	3	Pmar	3
Smoe_XP_002961120	3	Smoe	3
Smoe_XP_002966891	3	Smoe	3
Bden_Batde5_27333	3	Bden	3
Ppat_XP_001774257	3	Ppat	3
Tpse_XP_002289165	3	Tpse	3
Ppal_EFA81400_1	3	Ppal	3
Smoe_XP_002967739	3	Smoe	3
Gthe_73393	3	Gthe	3
Pmar_XP_002769782	3	Pmar	3
Ptet_A0CG77_A0CG77	4	Ptet	4
Ehux_104231	4	Ehux	4
Ptet_A0D226_A0D226	4	Ptet	4
Bnat_69405	4	Bnat	4
Ptet_A0D167_A0D167	4	Ptet	4
Ehux_108977	4	Ehux	4
Ccin_CC1G_14673	4	Ccin	4
Ptet_A0BS83_A0BS83	4	Ptet	4
Amac_02309	4	Amac	4
Ptet_A0D4G4_A0D4G4	4	Ptet	4
Tpse_XP_002293161	4	Tpse	4
Ptet_A0CEH6_A0CEH6	4	Ptet	4
Crei_XP_001700164	5	Crei	5
Mbre_XP_001745265	5	Mbre	5
Atha_AT1G33400	5	Atha	5
Apar_comp13957_c2_seq1_fr5	5	Apar	5
Cint_ENSCINP00000026472	5	Cint	5
Cvar_EFN59915	5	Cvar	5
Nvec_XP_001627273	5	Nvec	5
Scil_46411	5	Scil	5
Vcar_XP_002956736	5	Vcar	5
