gene	family
Cgig_10006344	ASH1
Ctel_176480	ASH1
Dmel_FBpp0074738	ASH1
Hsap_ENSP00000357330	ASH1
Lgig_143999	ASH1
Ocar_g2341_t1	ASH1
Scil_43878	ASH1
Scil_50427	ASH1
Skow_XP_002732754	ASH1
Spur_XP_003728661	ASH1
Spur_XP_003728662	ASH1
Spur_XP_784903	ASH1
Cint_ENSCINP00000003247	EHMT
Cint_ENSCINP00000028043	EHMT
Ctel_206547	EHMT
Hsap_ENSP00000379078	EHMT
Hsap_ENSP00000408583	EHMT
Hsap_ENSP00000417980	EHMT
Skow_XP_002733701	EHMT
Spur_XP_003728726	EHMT
Spur_XP_785941	EHMT
Aano_F0XVI4	EZH
Aano_F0XWV4	EZH
Acoe_003_00541	EZH
Acoe_015_00009	EZH
Adig_6676v104625	EZH
Aker_101000	EZH
Amac_02871	EZH
Apar_comp18592_c0_seq1_fr6	EZH
Aque_XP_003390508	EZH
Atha_AT1G02580	EZH
Atha_AT2G23380	EZH
Atha_AT4G02020	EZH
Bden_Batde5_22093	EZH
Bdis_1g48340	EZH
Bdis_1g64460	EZH
Bnat_136948	EZH
Bnat_144574	EZH
Bnat_32408	EZH
Bnat_78102	EZH
Cang_129315	EZH
Cang_150051	EZH
Ccin_CC1G_09236	EZH
Ccin_CC1G_14984	EZH
Ccor_56944	EZH
Ccri_T00003237001	EZH
Ccri_T00007370001	EZH
Ccri_T00007373001	EZH
Ccri_T00007377001	EZH
Ccri_T00007737001	EZH
Cele_R06A4_7	EZH
Cgig_10023111	EZH
Cint_ENSCINP00000016340	EZH
Clim_g2752	EZH
Clim_g5068	EZH
Cmer_CMQ156C	EZH
Cneo_XP_567801	EZH
Cpar_2580Contig15015	EZH
Cpar_713Contig10998	EZH
Ctel_20226	EZH
Cvar_EFN54582	EZH
Dmel_FBpp0076008	EZH
Ecun_XP_955728	EZH
Ehux_202082	EZH
Ehux_218460	EZH
Ehux_363356	EZH
Ehux_47083	EZH
Ehux_57610	EZH
Esil_CBJ26466	EZH
Fgra_FGSG_00899	EZH
Gthe_139254	EZH
Gthe_43393	EZH
Gthe_45335	EZH
Hmag_XP_002165490	EZH
Hsap_ENSP00000264646	EZH
Hsap_ENSP00000320147	EZH
Lgig_200654	EZH
Mbre_XP_001742056	EZH
Mcir_Mucci2_142530	EZH
Mgut_mgv1a001364m	EZH
Mgut_mgv1a002769m	EZH
Mlei_ML01861a	EZH
Mpus_Micpu59369	EZH
Mver_03357	EZH
Ncra_4300NCU04825	EZH
Ncra_6617NCU07496	EZH
Ngru_XP_002678629	EZH
Nspp_13586_fr5	EZH
Nvec_XP_001622422	EZH
Ocar_g575_t1	EZH
Otau_XP_003082958	EZH
Pbla_Phybl2_171920	EZH
Pinf_XP_002899451	EZH
Pinf_XP_002899517	EZH
Pinf_XP_002899518	EZH
Pinf_XP_002900788	EZH
Pinf_XP_002902603	EZH
Pinf_XP_002907066	EZH
Pisp_20568	EZH
Pisp_9162	EZH
Ppat_XP_001768188	EZH
Ptet_A0BWW9_A0BWW9	EZH
Ptet_A0CF66_A0CF66	EZH
Ptri_XP_002178023	EZH
Pyez_31104_g7601	EZH
Pyez_42793_g9647	EZH
Pyez_46867_g10259	EZH
Rall_1005	EZH
Rfil_27068_8c	EZH
Rfil_3385791_2s	EZH
Rfil_3716155_1s1f1	EZH
Rfil_3729028_5s1f1	EZH
Rfil_3757546_5s1f1	EZH
Rirr_342509	EZH
Rirr_345734	EZH
Rory_6679	EZH
Sarc_SARC_14258	EZH
Sbic_01g037450	EZH
Sbic_10g004560	EZH
Scil_108301	EZH
Scil_111041	EZH
Scil_36565	EZH
Smoe_XP_002980071	EZH
Smoe_XP_002987466	EZH
Smoe_XP_002994616	EZH
Spun_SPPG_03589	EZH
Spur_XP_001187524	EZH
Spur_XP_003725981	EZH
Spur_XP_790741	EZH
Sros_PTSG_12482	EZH
Tadh_XP_002110982	EZH
Tgon_XP_002371500	EZH
Tmel_XP_002841864	EZH
Tpse_XP_002290191	EZH
Tthe_XP_001017546	EZH
Tthe_XP_001022224	EZH
Tthe_XP_001024559	EZH
Ttra_AMSG_09360	EZH
Tvag_XP_001581581	EZH
Umar_244349	EZH
Umay_XP_760304	EZH
Vcar_XP_002958368	EZH
Aano_F0YDE7	MLL1_MLL2
Acas_g11528	MLL1_MLL2
Acas_g2013	MLL1_MLL2
Acas_g6446	MLL1_MLL2
Acoe_013_00096	MLL1_MLL2
Acoe_021_00020	MLL1_MLL2
Acoe_037_00166	MLL1_MLL2
Acoe_058_00150	MLL1_MLL2
Adig_1072v119182	MLL1_MLL2
Adig_278v118577	MLL1_MLL2
Apar_comp16066_c0_seq1_fr6	MLL1_MLL2
Aque_XP_003389474	MLL1_MLL2
Atha_AT1G05830	MLL1_MLL2
Atha_AT2G31650	MLL1_MLL2
Atha_AT3G61740	MLL1_MLL2
Atha_AT4G27910	MLL1_MLL2
Atha_AT5G53430	MLL1_MLL2
Bdis_2g07082	MLL1_MLL2
Bdis_2g45430	MLL1_MLL2
Bdis_4g08510	MLL1_MLL2
Ccri_T00005548001	MLL1_MLL2
Cele_T12D8_1	MLL1_MLL2
Cgig_10008103	MLL1_MLL2
Cgig_10022561	MLL1_MLL2
Cint_ENSCINP00000003156	MLL1_MLL2
Cint_ENSCINP00000025384	MLL1_MLL2
Cmer_CMD005C	MLL1_MLL2
Cowc_CAOG_01362	MLL1_MLL2
Crei_XP_001693149	MLL1_MLL2
Crei_XP_001703016	MLL1_MLL2
Ctel_153177	MLL1_MLL2
Ctel_179499	MLL1_MLL2
Cvar_EFN53400	MLL1_MLL2
Cvar_EFN53930	MLL1_MLL2
Dmel_FBpp0070347	MLL1_MLL2
Dmel_FBpp0082406	MLL1_MLL2
Ehux_311470	MLL1_MLL2
Ehux_70530	MLL1_MLL2
Esil_CBN74374	MLL1_MLL2
Esil_CBN75119	MLL1_MLL2
Gthe_75734	MLL1_MLL2
Gthe_78620	MLL1_MLL2
Hmag_XP_002161520	MLL1_MLL2
Hmag_XP_002169286	MLL1_MLL2
Hsap_ENSP00000222270	MLL1_MLL2
Hsap_ENSP00000301067	MLL1_MLL2
Hsap_ENSP00000347325	MLL1_MLL2
Hsap_ENSP00000436786	MLL1_MLL2
Ihof_1761	MLL1_MLL2
