	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
OG0013677	Anoalb_AALB014720-RA													
OG0013678	Anoalb_AALB014721-RA													
OG0013679	Anoalb_AALB014722-RA													
OG0013680	Anoalb_AALB014724-RA													
OG0013681	Anoalb_AALB014725-RA													
OG0013682	Anoalb_AALB014726-RA													
OG0013683	Anoalb_AALB014728-RA													
OG0013684	Anoalb_AALB014730-RB													
OG0013685	Anoalb_AALB007892-RA													
OG0013686	Anoalb_AALB007912-RA													
OG0013687	Anoalb_AALB014731-RA													
OG0013688	Anoalb_AALB014732-RA													
OG0013689	Anoalb_AALB007921-RA													
OG0013690	Anoalb_AALB014733-RA													
OG0013691	Anoalb_AALB014734-RA													
OG0013692	Anoalb_AALB014735-RA													
OG0013693	Anoalb_AALB007960-RA													
OG0013694	Anoalb_AALB014737-RA													
OG0013695	Anoalb_AALB014738-RA													
OG0013696	Anoalb_AALB014740-RA													
OG0013697	Anoalb_AALB014741-RA													
OG0013698	Anoalb_AALB007992-RA													
OG0013699	Anoalb_AALB014743-RA													
OG0013700	Anoalb_AALB008000-RA													
OG0013701	Anoalb_AALB014744-RA													
OG0013702	Anoalb_AALB008004-RA													
OG0013703	Anoalb_AALB014745-RA													
OG0013704	Anoalb_AALB014746-RA													
OG0013705	Anoalb_AALB014747-RA													
OG0013706	Anoalb_AALB014748-RA													
OG0013707	Anoalb_AALB014749-RA													
OG0013708	Anoalb_AALB008030-RA													
OG0013709	Anoalb_AALB014750-RA													
OG0013710	Anoalb_AALB014751-RA													
OG0013711	Anoalb_AALB014752-RA													
OG0013712	Anoalb_AALB014131-RA													
OG0013713	Anoalb_AALB014130-RA													
OG0013714	Anoalb_AALB014129-RA													
OG0013715	Anoalb_AALB014128-RA													
OG0013716	Anoalb_AALB014127-RA													
OG0013717	Anoalb_AALB001186-RA													
OG0013718	Anoalb_AALB014126-RA													
OG0013719	Anoalb_AALB014125-RA													
OG0013720	Anoalb_AALB014121-RA													
