gene	orthogroup	ref_sps	relative_age	outgroup_sps
Ppal|EFA84626	OG0001000	Hsap	13.0	Hsap,Atha
Acas|ELR23221	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO31874	OG0001000	Hsap	13.0	Hsap,Atha
Ddis|DDB0233625	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO31872	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO31873	OG0001000	Hsap	13.0	Hsap,Atha
Cowc|CAOG_00399T0	OG0001000	Hsap	13.0	Hsap,Atha
Lgig|LotgiT176045	OG0001000	Hsap	13.0	Hsap,Atha
Dmel|FBtr0304729	OG0001000	Hsap	13.0	Hsap,Atha
Ddis|DDB0201649	OG0001000	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE9672	OG0001000	Hsap	13.0	Hsap,Atha
Atha|AT5G56180.1	OG0001000	Hsap	13.0	Hsap,Atha
Ocar|g4818	OG0001000	Hsap	13.0	Hsap,Atha
Skow|rna32124	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO28651	OG0001000	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000009313	OG0001000	Hsap	13.0	Hsap,Atha
Ngru|EFC39674	OG0001000	Hsap	13.0	Hsap,Atha
Mlei|ML05062a-RA	OG0001000	Hsap	13.0	Hsap,Atha
Hsap|ENST00000445943	OG0001000	Hsap	13.0	Hsap,Atha
Gpro|mRNA_13541	OG0001000	Hsap	13.0	Hsap,Atha
Ppal|EFA76537	OG0001000	Hsap	13.0	Hsap,Atha
Ppal|EFA76538	OG0001000	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE2265	OG0001000	Hsap	13.0	Hsap,Atha
Aque|PAC15728232	OG0001000	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE2275	OG0001000	Hsap	13.0	Hsap,Atha
Ddis|DDB0233626	OG0001000	Hsap	13.0	Hsap,Atha
Ddis|DDB0233627	OG0001000	Hsap	13.0	Hsap,Atha
Aque|PAC15726833	OG0001000	Hsap	13.0	Hsap,Atha
Mbre|EDQ84865	OG0001000	Hsap	13.0	Hsap,Atha
Ngru|EFC47483	OG0001000	Hsap	13.0	Hsap,Atha
Nk52|evm17s271	OG0001000	Hsap	13.0	Hsap,Atha
Hsap|ENST00000266037	OG0001000	Hsap	13.0	Hsap,Atha
Spun|SPPG_08786T0	OG0001000	Hsap	13.0	Hsap,Atha
Tadh|TriadT56921	OG0001000	Hsap	13.0	Hsap,Atha
Hsap|ENST00000623213	OG0001000	Hsap	13.0	Hsap,Atha
Lgig|LotgiT232874	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO35873	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO35871	OG0001000	Hsap	13.0	Hsap,Atha
Cint|ENSCINT00000015199	OG0001000	Hsap	13.0	Hsap,Atha
Ppal|EFA80783	OG0001000	Hsap	13.0	Hsap,Atha
Cint|ENSCINT00000019638	OG0001000	Hsap	13.0	Hsap,Atha
Ttra|AMSG_10645T0	OG0001000	Hsap	13.0	Hsap,Atha
Ppal|EFA75710	OG0001000	Hsap	13.0	Hsap,Atha
Aque|PAC15703441	OG0001000	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE9671	OG0001000	Hsap	13.0	Hsap,Atha
Skow|rna32663	OG0001000	Hsap	13.0	Hsap,Atha
