in_gene	out_gene	branch_support	ev_type	sos	in_sps	out_sps
Pbla_Phybl2_188395	Hsap_ENSP00000235372	1.0	S	0.0	Pbla	Hsap
Pbla_Phybl2_188395	Spur_XP_790201	1.0	S	0.0	Pbla	Spur
Pbla_Phybl2_188395	Scil_95376	1.0	S	0.0	Pbla	Scil
Pbla_Phybl2_188395	Cint_ENSCINP00000000048	1.0	S	0.0	Pbla	Cint
Pbla_Phybl2_188395	Mlei_ML124240a	1.0	S	0.0	Pbla	Mlei
Pbla_Phybl2_188395	Aque_XP_003387259	1.0	S	0.0	Pbla	Aque
Pbla_Phybl2_188395	Spur_XP_003724787	1.0	S	0.0	Pbla	Spur
Pbla_Phybl2_188395	Cgig_10001616	1.0	S	0.0	Pbla	Cgig
Pbla_Phybl2_188395	Nvec_XP_001640186	1.0	S	0.0	Pbla	Nvec
Pbla_Phybl2_188395	Hmag_XP_002154805	1.0	S	0.0	Pbla	Hmag
Pbla_Phybl2_188395	Tadh_XP_002109980	1.0	S	0.0	Pbla	Tadh
Pbla_Phybl2_188395	Nvec_XP_001634375	1.0	S	0.0	Pbla	Nvec
Pbla_Phybl2_188395	Skow_XP_002739286	1.0	S	0.0	Pbla	Skow
Pbla_Phybl2_188395	Ctel_202965	1.0	S	0.0	Pbla	Ctel
Pbla_Phybl2_188395	Adig_2065v103432	1.0	S	0.0	Pbla	Adig
Pbla_Phybl2_188395	Amac_01030	1.0	S	0.0	Pbla	Amac
Pbla_Phybl2_188395	Nvec_XP_001641018	1.0	S	0.0	Pbla	Nvec
Pbla_Phybl2_188395	Ctel_103287	1.0	S	0.0	Pbla	Ctel
Pbla_Phybl2_188395	Cgig_10013102	1.0	S	0.0	Pbla	Cgig
Pbla_Phybl2_188395	Spur_XP_001200656	1.0	S	0.0	Pbla	Spur
Pbla_Phybl2_188395	Lgig_169169	1.0	S	0.0	Pbla	Lgig
Pbla_Phybl2_188395	Adig_2067v103430	1.0	S	0.0	Pbla	Adig
Pbla_Phybl2_188395	Scil_70624	1.0	S	0.0	Pbla	Scil
Pbla_Phybl2_188395	Cgig_10027610	1.0	S	0.0	Pbla	Cgig
Pbla_Phybl2_188395	Lgig_156439	1.0	S	0.0	Pbla	Lgig
Pbla_Phybl2_188395	Adig_23202v118285	1.0	S	0.0	Pbla	Adig
