node	cluster	cluster_ref
Hsap_ENSP00000408583	1	1ad
Hsap_ENSP00000346997	1	1be
Hsap_ENSP00000417980	1	1c
Hsap_ENSP00000379078	1	1ad
Hsap_ENSP00000337976	1	1be
Hsap_ENSP00000373354	1	1f
Hsap_ENSP00000276594	6	6a
Hsap_ENSP00000235372	6	6b
Hsap_ENSP00000358092	6	6c
Hsap_ENSP00000274031	6	6d
Hsap_ENSP00000384725	6	6e
Hsap_ENSP00000320147	9	9a
Hsap_ENSP00000264646	9	9b
Hsap_ENSP00000267197	12	12a
Hsap_ENSP00000262519	12	12b
Hsap_ENSP00000384114	14	14a
Hsap_ENSP00000257745	14	14b
Hsap_ENSP00000301067	21	21a
Hsap_ENSP00000347325	21	21b
Hsap_ENSP00000304360	27	27a
Hsap_ENSP00000374152	29	29a
Hsap_ENSP00000219315	31	31a
Hsap_ENSP00000332995	32	32a
Hsap_ENSP00000271640	36	36a
Hsap_ENSP00000326477	36	36b
Hsap_ENSP00000357330	37	37a
Hsap_ENSP00000305899	45	45a
Hsap_ENSP00000255613	45	45b
Hsap_ENSP00000222270	61	61a
Hsap_ENSP00000436786	61	61b
Hsap_ENSP00000313983	65	65ac
Hsap_ENSP00000395929	65	65b
Hsap_ENSP00000372347	65	65ac
Hsap_ENSP00000393453	66	66ac
Hsap_ENSP00000355924	66	66b
Hsap_ENSP00000373637	66	66ac
Hsap_ENSP00000327436	68	68a
Hsap_ENSP00000329189	71	71a
Hsap_ENSP00000386759	82	82a
