in_gene	out_gene	branch_support	ev_type	sos	in_sps	out_sps
Fgra_FGSG_03833	Smoe_XP_002971004	1.0	S	0.0	Fgra	Smoe
Fgra_FGSG_03833	Smoe_XP_002971005	1.0	S	0.0	Fgra	Smoe
Fgra_FGSG_03833	Smoe_XP_002962082	1.0	S	0.0	Fgra	Smoe
Fgra_FGSG_03833	Smoe_XP_002962081	1.0	S	0.0	Fgra	Smoe
Fgra_FGSG_03833	Smoe_XP_002961588	1.0	S	0.0	Fgra	Smoe
Cpar_23305Contig38514	Smoe_XP_002971004	1.0	S	0.0	Cpar	Smoe
Cpar_23305Contig38514	Smoe_XP_002971005	1.0	S	0.0	Cpar	Smoe
Cpar_23305Contig38514	Smoe_XP_002962082	1.0	S	0.0	Cpar	Smoe
Cpar_23305Contig38514	Smoe_XP_002962081	1.0	S	0.0	Cpar	Smoe
Cpar_23305Contig38514	Smoe_XP_002961588	1.0	S	0.0	Cpar	Smoe
Fgra_FGSG_03833	Cpar_23305Contig38514	1.0	S	0.0	Fgra	Cpar
Mgut_mgv1a019293m	Smoe_XP_002975639	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Mpus_Micpu205714	1.0	S	0.0	Mgut	Mpus
Mgut_mgv1a019293m	Rall_366	1.0	S	0.0	Mgut	Rall
Mgut_mgv1a019293m	Ppal_EFA77024_1	1.0	S	0.0	Mgut	Ppal
Mgut_mgv1a019293m	Smoe_XP_002975811	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Smoe_XP_002963144	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Mver_00240	1.0	S	0.0	Mgut	Mver
Mgut_mgv1a019293m	Smoe_XP_002980178	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Smoe_XP_002973763	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Ppat_XP_001778358	1.0	S	0.0	Mgut	Ppat
Mgut_mgv1a019293m	Smoe_XP_002979364	1.0	S	0.0	Mgut	Smoe
Mgut_mgv1a019293m	Smoe_XP_002990571	1.0	S	0.0	Mgut	Smoe
