node	og	cluster	og_cluster
Anoalb_Anoalb_AALB001334-RA	OG0000000		OG0000000_nan
Anodar_Anodar_ADAC009966-RA	OG0000000		OG0000000_nan
Anoatr_Anoatr_AATE018750-RA	OG0000000	22	OG0000000_22
Anosin_Anosin_ASIS007177-RA	OG0000000	22	OG0000000_22
Anoatr_Anoatr_AATE002325-RA	OG0000000	13	OG0000000_13
Anosin_Anosin_ASIS000026-RA	OG0000000	13	OG0000000_13
Anodar_Anodar_ADAC002823-RA	OG0000000	13	OG0000000_13
Anocul_Anocul_ACUA018593-RA	OG0000000	13	OG0000000_13
Anomac_Anomac_AMAM017820-RA	OG0000000	13	OG0000000_13
Anomac_Anomac_AMAM004874-RA	OG0000000	13	OG0000000_13
Anogam_Anogam_AGAP012263-RA	OG0000000		OG0000000_nan
Anoatr_Anoatr_AATE016569-RA	OG0000000	19	OG0000000_19
Anosin_Anosin_ASIS002244-RA	OG0000000	19	OG0000000_19
Anodar_Anodar_ADAC002826-RA	OG0000000	19	OG0000000_19
Anofar_Anofar_AFAF020858-RA	OG0000000	19	OG0000000_19
Anomac_Anomac_AMAM004971-RA	OG0000000	19	OG0000000_19
Anoalb_Anoalb_AALB002512-RA	OG0000000	15	OG0000000_15
Anodar_Anodar_ADAC009450-RA	OG0000000	15	OG0000000_15
Anochr_Anochr_ACHR000324-RA	OG0000000	15	OG0000000_15
Anocul_Anocul_ACUA016529-RA	OG0000000	15	OG0000000_15
Anomin_Anomin_AMIN002911-RA	OG0000000	15	OG0000000_15
Anofar_Anofar_AFAF009651-RA	OG0000000	15	OG0000000_15
Anodar_Anodar_ADAC009456-RA	OG0000000	15	OG0000000_15
Anodir_Anodir_ADIR015702-RA	OG0000000	15	OG0000000_15
Anomac_Anomac_AMAM024188-RA	OG0000000	15	OG0000000_15
Anofun_Anofun_AFUN001556-RA	OG0000000	15	OG0000000_15
Anogam_Anogam_AGAP003788-RA	OG0000000	15	OG0000000_15
Anoatr_Anoatr_AATE000412-RA	OG0000000	15	OG0000000_15
Anosin_Anosin_ASIS013204-RA	OG0000000	15	OG0000000_15
Anoste_Anoste_ASTEI00886-RA	OG0000000	15	OG0000000_15
Anoalb_Anoalb_AALB015664-RA	OG0000000	3	OG0000000_3
Anodar_Anodar_ADAC009444-RA	OG0000000	3	OG0000000_3
Anodir_Anodir_ADIR002521-RA	OG0000000	3	OG0000000_3
Anofar_Anofar_AFAF015100-RA	OG0000000	3	OG0000000_3
Anoatr_Anoatr_AATE005378-RA	OG0000000	3	OG0000000_3
Anosin_Anosin_ASIS009308-RA	OG0000000	3	OG0000000_3
Anocul_Anocul_ACUA024059-RA	OG0000000	3	OG0000000_3
Anofun_Anofun_AFUN016356-RA	OG0000000	3	OG0000000_3
Anomac_Anomac_AMAM010619-RA	OG0000000	3	OG0000000_3
Anomin_Anomin_AMIN002916-RA	OG0000000	3	OG0000000_3
Anochr_Anochr_ACHR000881-RA	OG0000000	3	OG0000000_3
Anogam_Anogam_AGAP003783-RB	OG0000000	3	OG0000000_3
Anoalb_Anoalb_AALB015485-RA	OG0000000	17	OG0000000_17
Anodar_Anodar_ADAC009440-RA	OG0000000	17	OG0000000_17
Anochr_Anochr_ACHR000327-RA	OG0000000	17	OG0000000_17
Anogam_Anogam_AGAP003784-RA	OG0000000	17	OG0000000_17
Anoatr_Anoatr_AATE020101-RA	OG0000000	17	OG0000000_17
Anosin_Anosin_ASIS002480-RA	OG0000000	17	OG0000000_17
Anocul_Anocul_ACUA018873-RA	OG0000000	17	OG0000000_17
Anomin_Anomin_AMIN002914-RA	OG0000000	17	OG0000000_17
Anofun_Anofun_AFUN001551-RA	OG0000000	17	OG0000000_17
