node	cluster	sps	cluster_ref
Mver_00444	0	Mver	0
Lmaj_XP_001681739	0	Lmaj	0
Gpro_135584	0	Gpro	0
Ddis_XP_635865	0	Ddis	0
Ihof_3148	0	Ihof	0
Glam_XP_001705534	0	Glam	0
Apar_comp19575_c0_seq1_fr6	0	Apar	0
Nspp_11197_fr2	0	Nspp	0
Aker_56423	0	Aker	0
Pfal_Q8I352_Q8I352	0	Pfal	0
Dmel_FBpp0075717	0	Dmel	0
Tcru_XP_815712	0	Tcru	0
Ppal_EFA84886_1	0	Ppal	0
Apar_comp22662_c0_seq1_fr6	0	Apar	0
Bsal_BS57140	0	Bsal	0
Cowc_CAOG_03801	0	Cowc	0
Ccor_78081	0	Ccor	0
Tcru_XP_821968	0	Tcru	0
Ehux_223194	0	Ehux	0
Apar_comp13703_c0_seq1_fr5	1	Apar	1
Acas_g1616	1	Acas	1
Mver_00548	1	Mver	1
Lgig_160845	1	Lgig	1
Rirr_72238	1	Rirr	1
Gpro_54135	1	Gpro	1
Lgig_232186	1	Lgig	1
Acas_g8002	1	Acas	1
Cgig_10010761	1	Cgig	1
Spun_SPPG_03192	1	Spun	1
Umar_220360	1	Umar	1
Amac_04388	1	Amac	1
Mver_03338	1	Mver	1
Acas_g3116	1	Acas	1
Cgig_10010760	1	Cgig	1
Ihof_6005	2	Ihof	2
Ttra_AMSG_10303	2	Ttra	2
Aker_62099	2	Aker	2
Cfra_2216T1	2	Cfra	2
Apar_comp13070_c1_seq1_fr6	2	Apar	2
Ptri_XP_002176313	2	Ptri	2
Ehux_235309	2	Ehux	2
Ehux_211778	2	Ehux	2
Esil_CBN78619	2	Esil	2
Aano_F0XYZ4	2	Aano	2
Mpus_Micpu183344	2	Mpus	2
Bnat_76140	2	Bnat	2
Acas_g9677	2	Acas	2
Ehis_357_m00040	2	Ehis	2
Sarc_SARC_10855	2	Sarc	2
Aano_F0XZE1	3	Aano	3
Bnat_68204	3	Bnat	3
Tadh_XP_002114620	4	Tadh	4a
Amac_01567	4	Amac	4a
Amac_04063	4	Amac	4a
Nspp_10625_fr4	4	Nspp	4a
Adig_9231v106136	4	Adig	4a
Apar_comp18491_c0_seq1_fr5	4	Apar	4a
Cowc_CAOG_07464	4	Cowc	4a
Skow_XP_002735533	4	Skow	4a
Spur_XP_784346	4	Spur	4a
Cang_44709	4	Cang	4a
Cgig_10009476	4	Cgig	4a
Nspp_10624_fr6	4	Nspp	4a
Scil_51718	4	Scil	4a
Nspp_10623_fr6	4	Nspp	4a
Dmel_FBpp0083507	4	Dmel	4a
Hmag_XP_002160911	4	Hmag	4a
Nspp_10626_fr4	4	Nspp	4a
Hsap_ENSP00000374152	4	Hsap	4a
Lgig_231752	4	Lgig	4a
Sros_PTSG_08216	4	Sros	4a
Ctel_159764	4	Ctel	4a
Nvec_XP_001627062	4	Nvec	4a
Ccor_74124	5	Ccor	5
Lmaj_XP_001680872	5	Lmaj	5
Mpus_Micpu57921	5	Mpus	5
Tpse_XP_002296687	5	Tpse	5
Lmaj_XP_001682529	5	Lmaj	5
Gthe_148776	5	Gthe	5
Rirr_345750	5	Rirr	5
Tcru_XP_819619	5	Tcru	5
Crei_XP_001703683	5	Crei	5
Cvar_EFN56428	5	Cvar	5
Tcru_XP_815256	5	Tcru	5
Ngru_XP_002681273	5	Ngru	5
Sarc_SARC_01035	5	Sarc	5
Tcru_XP_811365	5	Tcru	5
Cfra_4843T1	5	Cfra	5
Ngru_XP_002671048	5	Ngru	5
Bsal_BS47385	5	Bsal	5
Tcru_XP_819951	5	Tcru	5
Tcru_XP_822054	6	Tcru	6
Umar_191570	6	Umar	6
Cneo_XP_569210	6	Cneo	6
Pbla_Phybl2_98969	6	Pbla	6
Mcir_Mucci2_142882	6	Mcir	6
Umay_XP_758615	6	Umay	6
Ehux_449359	6	Ehux	6
Mver_07358	6	Mver	6
Ehux_448796	6	Ehux	6
Tcru_XP_810972	6	Tcru	6
Ccin_CC1G_05287	6	Ccin	6
Rory_16826	6	Rory	6
Lmaj_XP_001683140	6	Lmaj	6
Mpus_Micpu20125	7	Mpus	7
Cfra_1710T1	7	Cfra	7
Ppat_XP_001759368	7	Ppat	7
Otau_XP_003083145	7	Otau	7
Bsal_BS55355	7	Bsal	7
Smoe_XP_002966643	7	Smoe	7
Apar_comp22796_c1_seq1_fr5	7	Apar	7
Atha_AT3G21820	7	Atha	7
Sbic_06g029440	7	Sbic	7
Mgut_mgv1a005946m	7	Mgut	7
Ihof_7302	7	Ihof	7
Bdis_5g22730	7	Bdis	7
Cvar_EFN50876	7	Cvar	7
Smoe_XP_002978099	7	Smoe	7
Acoe_005_00445	7	Acoe	7
