node	cluster
Tcru_XP_817580	0
Cowc_CAOG_01287	0
Tcru_XP_819082	0
Bsal_BS60515	0
Nspp_13586_fr5	1
Rirr_345734	1
Smoe_XP_002980071	1
Bdis_1g48340	1
Spur_XP_790741	1
Mpus_Micpu59369	1
Mgut_mgv1a001364m	1
Ccin_CC1G_09236	1
Smoe_XP_002987466	1
Hmag_XP_002165490	1
Rall_1005	1
Ctel_20226	1
Aano_F0XVI4	1
Cele_R06A4_7	1
Mlei_ML01861a	1
Ocar_g575_t1	1
Pinf_XP_002900788	1
Pinf_XP_002902603	1
Sros_PTSG_12482	1
Spur_XP_001187524	1
Hsap_ENSP00000264646	1
Mgut_mgv1a002769m	1
Otau_XP_003082958	1
Cgig_10023111	1
Atha_AT4G02020	1
Hsap_ENSP00000320147	1
Atha_AT1G02580	1
Ppat_XP_001768188	1
Adig_6676v104625	1
Cvar_EFN54582	1
Mbre_XP_001742056	1
Acoe_015_00009	1
Vcar_XP_002958368	1
Sbic_10g004560	1
Tmel_XP_002841864	1
Scil_36565	1
Gthe_43393	1
Cint_ENSCINP00000016340	1
Spun_SPPG_03589	1
Apar_comp18592_c0_seq1_fr6	1
Acoe_003_00541	1
Tadh_XP_002110982	1
Sbic_01g037450	1
Nvec_XP_001622422	1
Dmel_FBpp0076008	1
Ccri_T00007737001	1
Lgig_200654	1
Bdis_1g64460	1
Aque_XP_003390508	1
Spur_XP_003725981	1
Atha_AT2G23380	1
Smoe_XP_002994616	1
Methanosarcina_mazei_499345213_19_11	2
Aker_27813	2
Ccin_CC1G_07120	2
Apar_comp19133_c0_seq1_fr5	2
Rall_5391	2
Mver_09038	2
Ihof_6020	2
Pbla_Phybl2_8439	2
Mcir_Mucci2_113296	2
Bsal_BS29950	2
Methanoculleus_marisnigri_500169079_	2
Methanosarcina_acetivorans_499331191	2
Methanosarcina_barkeri_499626817_12_	2
Spom_NP_588361_1	2
Aano_F0YCX0	2
Umay_XP_756905	2
Ctel_101446	2
Umar_257941	2
Ppat_XP_001754318	2
Rory_11090	2
Methanofollis_liminatans_490138677_1	2
Scil_51071	3
Smoe_XP_002982699	3
Smoe_XP_002973763	3
Pbla_Phybl2_108062	3
Smoe_XP_002979364	3
Smoe_XP_002978194	3
Mpus_Micpu205714	3
Sros_PTSG_04361	3
Mcir_Mucci2_109312	3
Sbic_01g045950	3
Ncra_794NCU00870	3
Tmel_XP_002836440	3
